Company,Role,Location,Application URL,Date Posted,Status,Applied]\
AMD, ML/AI Intern, Markham, https://careers.amd.com/careers-home/jobs/72025?lang=en-us&iis=Job%20Board&iisn=Linkedin/, 2025-09-27, Open, Yes
Uber, Software Engineer Intern, Toronto, https://university-uber.icims.com/jobs/149142/job, 2025-09-27, Open, Yes
Provision, Software Engineer Intern, Toronto, https://www.provision.com/careers?ashby_jid=829e6ba2-b153-4011-8536-961795352cd5, 2025-09-27, Open, Yes
CIBC,Data Scientist Co-Op,Toronto,https://cibc.wd3.myworkdayjobs.com/campus/job/Toronto-ON/Data-Scientist-Co-Op--8-Months-_2521598?source=LinkedIn,2025-09-17,Open,Yes
RBC Amplify,Data Engineer,Toronto,https://jobs.rbc.com/ca/en/job/R-0000084930/Data-Engineer-Intern-Amplify-2026-Toronto,2025-09-17,Open,No
RBC Amplify,Data Engineer,Halifax,https://jobs.rbc.com/ca/en/job/R-0000084931/Data-Engineer-Intern-Amplify-2026-Halifax,2025-09-17,Open,No
RBC Amplify,Developer,Montreal,https://jobs.rbc.com/ca/en/job/R-0000084932/Developer-Intern-Amplify-2026-Montreal,2025-09-17,Open,No
RBC Amplify,Developer,Toronto,https://jobs.rbc.com/ca/en/job/R-0000084933/Developer-Intern-Amplify-2026-Toronto,2025-09-17,Open,No
RBC Amplify,Developer,Halifax,https://jobs.rbc.com/ca/en/job/R-0000084934/Developer-Intern-Amplify-2026-Halifax,2025-09-17,Open,No
Trench,AI/ML Intern,Scarborough,https://trench.csod.com/ux/ats/careersite/1/home/requisition/1360?c=trench&sq=req1360&source=LinkedIn,2025-09-16,Open,Yes
Stripe,Software Engineering Intern,Toronto,https://stripe.com/jobs/listing/software-engineer-intern/7206389,2025-09-16,Open,Yes
Databricks,Software Engineering Intern,Vancouver,https://www.databricks.com/company/careers/university-recruiting/software-engineering-intern-2026-6865687002?gh_jid=6865687002&utm_medium=website&ref=trueup&utm_source=trueup,2025-09-15,Open,No
SAP iXp Intern,CI/CD Pipeline Developer,Vancouver,https://jobs.sap.com/job/Waterloo-SAP-iXp-Intern-CICD-Pipeline-Developer-ON-N2L6R2/1247955601/?utm_source=trueup&utm_medium=website&ref=trueup,2025-09-15,Open,No
IBM,Machine Learning Developer Intern ,Markham,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=58725&source=WEB_Search_EMEA,2025-09-15,Open,Yes
IBM,Customer Developer Intern,Markham,https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=60297&source=WEB_Search_EMEA,2025-09-15,Open,Yes
SGS & Co, Data Science Intern, Toronto, https://recruiting2.ultipro.com/SGS1000SGSI/JobBoard/97ca74c0-a912-49a2-94d9-461835a67db8/OpportunityDetail?opportunityId=e25b2950-9db7-4350-8c44-0395b5689958, 2025-09-13, Open, Yes
Block,Backend Software Engineering Internship,Toronto,https://block.xyz/careers/jobs/4904198008?gh_jid=4904198008&utm_source=trueup&utm_medium=website&ref=trueup,2025-09-8,Open,Yes
